V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_40	O09167	8.34e-66	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	Mus musculus (Mouse)	cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003735; GO:0005737; GO:0005783; GO:0005829; GO:0005840; GO:0022625; GO:0045202; GO:0098794
Ab_contig_41	P40429	2.05e-75	NA	NA	NA	NA
Ab_contig_48	Q9MZ15	7.28e-39	NA	NA	NA	NA
Ab_contig_52	Q4PMB3	2.84e-31	NA	NA	NA	NA
Ab_contig_57	P00829	0	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	Bos taurus (Bovine)	proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	GO:0005524; GO:0005739; GO:0005743; GO:0016887; GO:0042776; GO:0045259; GO:0045261; GO:0046933; GO:0046961
Ab_contig_59	P62250	3.2e-40	NA	NA	NA	NA
Ab_contig_66	Q4PMB3	1.67e-30	NA	NA	NA	NA
Ab_contig_68	P25457	7.51e-95	NA	NA	NA	NA
Ab_contig_70	P56597	9.87e-37	NA	NA	NA	NA
Ab_contig_73	P27085	2.7e-21	NA	NA	NA	NA
Ab_contig_77	Q9DFR6	6e-54	NA	NA	NA	NA
Ab_contig_85	Q71V39	6.7e-88	NA	NA	NA	NA
Ab_contig_88	O43776	2.84e-25	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)	Homo sapiens (Human)	asparaginyl-tRNA aminoacylation [GO:0006421]; cell migration [GO:0016477]; cerebral cortex development [GO:0021987]; tRNA aminoacylation for protein translation [GO:0006418]	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0005829; GO:0006418; GO:0006421; GO:0016477; GO:0021987; GO:0031728; GO:0046983; GO:0070062
Ab_contig_89	A5A6J2	1.3e-44	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5)	Pan troglodytes (Chimpanzee)	alternative mRNA splicing, via spliceosome [GO:0000380]; androgen receptor signaling pathway [GO:0030521]; epithelial to mesenchymal transition [GO:0001837]; estrogen receptor signaling pathway [GO:0030520]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; miRNA transcription [GO:0061614]; myoblast differentiation [GO:0045445]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process [GO:0000956]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of osteoblast differentiation [GO:0045667]; regulation of skeletal muscle cell differentiation [GO:2001014]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]	GO:0000122; GO:0000380; GO:0000381; GO:0000956; GO:0001837; GO:0003689; GO:0003724; GO:0003730; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0006357; GO:0016607; GO:0016887; GO:0030520; GO:0030521; GO:0043021; GO:0043517; GO:0045445; GO:0045667; GO:0048511; GO:0050681; GO:0060765; GO:0061614; GO:0061775; GO:0072332; GO:0140584; GO:0140665; GO:0140849; GO:1990841; GO:1990904; GO:2001014
Ab_contig_90	Q95M17	5.68e-46	NA	NA	NA	NA
Ab_contig_99	P50671	7.79e-37	NA	NA	NA	NA
Ab_contig_100	P29314	5.67e-45	NA	NA	NA	NA
Ab_contig_101	P84100	1.04e-53	NA	NA	NA	NA
Ab_contig_111	P08428	1.56e-74	NA	NA	NA	NA
Ab_contig_116	Q03168	2.12e-97	NA	NA	NA	NA
Ab_contig_122	B3EWZ6	1.22e-25	NA	NA	NA	NA
Ab_contig_122	B3EWZ6	1.53e-21	NA	NA	NA	NA
Ab_contig_125	Q6QMZ7	5.68e-24	NA	NA	NA	NA
Ab_contig_133	P49395	2.36e-39	NA	NA	NA	NA
Ab_contig_139	Q8WR62	6.1e-27	NA	NA	NA	NA
Ab_contig_147	Q6TAW2	7.94e-32	NA	NA	NA	NA
Ab_contig_155	Q2YGT9	6.04e-28	NA	NA	NA	NA
Ab_contig_160	Q642H9	4.57e-32	NA	NA	NA	NA
Ab_contig_164	Q5R8M9	3.51e-26	NA	NA	NA	NA
Ab_contig_165	Q8ISP0	3.28e-60	NA	NA	NA	NA
Ab_contig_168	P42577	4.33e-51	NA	NA	NA	NA
Ab_contig_170	Q95NR9	1.9e-23	NA	NA	NA	NA
Ab_contig_189	Q62186	7.74e-44	NA	NA	NA	NA
Ab_contig_192	P02402	8.07e-26	Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1) (eL12'/ eL12'-P)	Artemia salina (Brine shrimp)	cytoplasmic translation [GO:0002181]; translational elongation [GO:0006414]	GO:0002181; GO:0003735; GO:0006414; GO:0022625; GO:0030295; GO:0043021
Ab_contig_193	P12613	3.06e-64	NA	NA	NA	NA
Ab_contig_196	Q9EPH8	2.78e-36	NA	NA	NA	NA
Ab_contig_198	Q8AVH4	2.18e-51	NA	NA	NA	NA
Ab_contig_204	Q5R9L9	2.76e-32	NA	NA	NA	NA
Ab_contig_218	O13085	1.19e-28	NA	NA	NA	NA
Ab_contig_222	Q3SX11	9.19e-123	NA	NA	NA	NA
Ab_contig_227	Q6P823	2.53e-44	NA	NA	NA	NA
Ab_contig_233	B0FWD3	3.32e-84	NA	NA	NA	NA
Ab_contig_242	Q962U1	2.75e-53	NA	NA	NA	NA
Ab_contig_252	P00764	8.82e-40	NA	NA	NA	NA
Ab_contig_256	Q2KJE5	4.81e-24	NA	NA	NA	NA
Ab_contig_259	P30163	0	NA	NA	NA	NA
Ab_contig_261	O61998	1.37e-26	NA	NA	NA	NA
Ab_contig_265	Q3SYT7	1.29e-33	NA	NA	NA	NA
Ab_contig_268	Q9GP32	8.28e-129	NA	NA	NA	NA
Ab_contig_273	P49609	5.92e-43	NA	NA	NA	NA
Ab_contig_275	Q26636	1.52e-67	NA	NA	NA	NA
Ab_contig_276	Q9TU53	5.1900000000000004e-24	NA	NA	NA	NA
Ab_contig_283	O75096	1.26e-26	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	Homo sapiens (Human)	amyloid-beta clearance by cellular catabolic process [GO:0150094]; dendrite morphogenesis [GO:0048813]; dorsal/ventral pattern formation [GO:0009953]; embryonic digit morphogenesis [GO:0042733]; endocytosis [GO:0006897]; enzyme-linked receptor protein signaling pathway [GO:0007167]; generation of neurons [GO:0048699]; hair follicle development [GO:0001942]; kidney development [GO:0001822]; limb development [GO:0060173]; negative regulation of axonogenesis [GO:0050771]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ossification [GO:0030279]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of presynaptic membrane organization [GO:1901631]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; proximal/distal pattern formation [GO:0009954]; regulation of postsynapse assembly [GO:0150052]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; synapse organization [GO:0050808]; synaptic assembly at neuromuscular junction [GO:0051124]; Wnt signaling pathway [GO:0016055]	GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0007167; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0015026; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0035022; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048699; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150052; GO:0150094; GO:1901631; GO:1904395
Ab_contig_288	Q8N0N3	9.28e-27	NA	NA	NA	NA
Ab_contig_304	Q9DG68	3.61e-155	NA	NA	NA	NA
Ab_contig_305	O43678	9.42e-29	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	Homo sapiens (Human)	aerobic respiration [GO:0009060]; blastocyst hatching [GO:0001835]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	GO:0001835; GO:0005739; GO:0005743; GO:0006120; GO:0008137; GO:0009060; GO:0031966; GO:0032981; GO:0042776; GO:0045271
Ab_contig_306	P24534	9.82e-48	NA	NA	NA	NA
Ab_contig_323	P23398	1.16e-48	NA	NA	NA	NA
Ab_contig_323	P23398	5.71e-31	NA	NA	NA	NA
Ab_contig_326	P41105	3.03e-36	NA	NA	NA	NA
Ab_contig_330	Q8VEM8	1.9e-70	NA	NA	NA	NA
Ab_contig_343	Q95332	9.42e-34	NA	NA	NA	NA
Ab_contig_349	P17050	1.8e-24	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)	Homo sapiens (Human)	carbohydrate catabolic process [GO:0016052]; glycolipid catabolic process [GO:0019377]; glycoside catabolic process [GO:0016139]; oligosaccharide metabolic process [GO:0009311]	GO:0004557; GO:0005737; GO:0005764; GO:0008456; GO:0009311; GO:0016020; GO:0016052; GO:0016139; GO:0019377; GO:0042803; GO:0070062
Ab_contig_350	O75594	8.57e-48	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	Homo sapiens (Human)	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; biological process involved in interaction with host [GO:0051701]; defense response to bacterium [GO:0042742]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; immune response [GO:0006955]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of inflammatory response [GO:0050728]; negative regulation of natural killer cell differentiation involved in immune response [GO:0032827]; negative regulation of type II interferon production [GO:0032689]; peptidoglycan catabolic process [GO:0009253]	GO:0005576; GO:0005615; GO:0006955; GO:0008270; GO:0008745; GO:0009253; GO:0016019; GO:0016045; GO:0030544; GO:0031640; GO:0032689; GO:0032827; GO:0035580; GO:0042742; GO:0042834; GO:0045087; GO:0048018; GO:0050728; GO:0050830; GO:0051701; GO:0060090; GO:0061844; GO:0070062; GO:0097013; GO:1904724
Ab_contig_354	Q4U3L0	5.3e-29	NA	NA	NA	NA
Ab_contig_363	G1TTY7	6.13e-50	NA	NA	NA	NA
Ab_contig_364	P27080	1.1e-27	NA	NA	NA	NA
Ab_contig_371	O75506	6.5e-29	Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13)	Homo sapiens (Human)	axonal transport of mitochondrion [GO:0019896]; cellular heat acclimation [GO:0070370]; endodermal cell differentiation [GO:0035987]; negative regulation of transcription by RNA polymerase II [GO:0000122]	GO:0000122; GO:0003714; GO:0005634; GO:0005654; GO:0005829; GO:0019896; GO:0035987; GO:0042802; GO:0070370; GO:1904115
Ab_contig_372	P42577	4.15e-70	NA	NA	NA	NA
Ab_contig_374	P10994	7.79e-43	NA	NA	NA	NA
Ab_contig_376	Q92113	3.21e-30	NA	NA	NA	NA
Ab_contig_380	Q5ZKC9	4.95e-46	NA	NA	NA	NA
Ab_contig_381	Q90YV2	4.73e-53	NA	NA	NA	NA
Ab_contig_385	P62315	3.22e-30	NA	NA	NA	NA
Ab_contig_399	P49149	1.86e-31	NA	NA	NA	NA
Ab_contig_410	P33727	3.98e-22	NA	NA	NA	NA
Ab_contig_411	Q6P011	1.76e-58	NA	NA	NA	NA
Ab_contig_413	A3QU28	7.67e-65	NA	NA	NA	NA
Ab_contig_414	Q7ZXP8	7.44e-52	NA	NA	NA	NA
Ab_contig_420	P28648	4.25e-23	NA	NA	NA	NA
Ab_contig_429	Q9TGE6	4.93e-32	NA	NA	NA	NA
Ab_contig_440	P00125	1.35e-74	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)	Bos taurus (Bovine)	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	GO:0005739; GO:0005743; GO:0006122; GO:0008121; GO:0020037; GO:0045275; GO:0046872
Ab_contig_449	Q5RCT0	6.66e-23	NA	NA	NA	NA
Ab_contig_467	P13497	9.75e-34	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	Homo sapiens (Human)	cartilage condensation [GO:0001502]; cell differentiation [GO:0030154]; collagen fibril organization [GO:0030199]; dorsal/ventral pattern formation [GO:0009953]; ossification [GO:0001503]; positive regulation of cartilage development [GO:0061036]; protein processing [GO:0016485]; proteolysis [GO:0006508]; skeletal system development [GO:0001501]	GO:0001501; GO:0001502; GO:0001503; GO:0004222; GO:0004252; GO:0005125; GO:0005509; GO:0005576; GO:0005615; GO:0005794; GO:0006508; GO:0008083; GO:0008233; GO:0008237; GO:0008270; GO:0009953; GO:0016485; GO:0030154; GO:0030199; GO:0031982; GO:0042802; GO:0061036
Ab_contig_467	P13497	5.36e-29	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	Homo sapiens (Human)	cartilage condensation [GO:0001502]; cell differentiation [GO:0030154]; collagen fibril organization [GO:0030199]; dorsal/ventral pattern formation [GO:0009953]; ossification [GO:0001503]; positive regulation of cartilage development [GO:0061036]; protein processing [GO:0016485]; proteolysis [GO:0006508]; skeletal system development [GO:0001501]	GO:0001501; GO:0001502; GO:0001503; GO:0004222; GO:0004252; GO:0005125; GO:0005509; GO:0005576; GO:0005615; GO:0005794; GO:0006508; GO:0008083; GO:0008233; GO:0008237; GO:0008270; GO:0009953; GO:0016485; GO:0030154; GO:0030199; GO:0031982; GO:0042802; GO:0061036
Ab_contig_473	Q5RBI3	7.7e-26	NA	NA	NA	NA
Ab_contig_481	O01666	6.84e-35	NA	NA	NA	NA
Ab_contig_483	Q5R710	4.59e-42	NA	NA	NA	NA
Ab_contig_484	Q6NVI7	9.26e-22	NA	NA	NA	NA
Ab_contig_497	Q9CY50	2.86e-55	NA	NA	NA	NA
Ab_contig_508	P29957	7.13e-21	NA	NA	NA	NA
Ab_contig_519	Q02926	1.19e-31	NA	NA	NA	NA
Ab_contig_525	B3EWZ9	1.27e-22	NA	NA	NA	NA
Ab_contig_531	Q34949	3.9e-67	NA	NA	NA	NA
Ab_contig_533	Q9GMB0	8.57e-46	NA	NA	NA	NA
Ab_contig_539	Q8WR62	2.01e-29	NA	NA	NA	NA
Ab_contig_545	Q5ZJF4	4.84e-77	NA	NA	NA	NA
Ab_contig_552	Q37546	4.54e-114	NA	NA	NA	NA
Ab_contig_553	P46967	9.34e-55	NA	NA	NA	NA
Ab_contig_554	Q9N2W7	1.83e-41	NA	NA	NA	NA
Ab_contig_560	T1SH39	3.89e-28	NA	NA	NA	NA
Ab_contig_568	P23659	1.47e-35	NA	NA	NA	NA
Ab_contig_573	O43451	3.84e-32	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	Homo sapiens (Human)	dextrin catabolic process [GO:1901027]; maltose catabolic process [GO:0000025]; starch catabolic process [GO:0005983]	GO:0000025; GO:0003824; GO:0004339; GO:0004558; GO:0004574; GO:0005886; GO:0005983; GO:0016160; GO:0016324; GO:0030246; GO:0070062; GO:0070821; GO:0101003; GO:1901027
Ab_contig_573	O43451	1.47e-29	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	Homo sapiens (Human)	dextrin catabolic process [GO:1901027]; maltose catabolic process [GO:0000025]; starch catabolic process [GO:0005983]	GO:0000025; GO:0003824; GO:0004339; GO:0004558; GO:0004574; GO:0005886; GO:0005983; GO:0016160; GO:0016324; GO:0030246; GO:0070062; GO:0070821; GO:0101003; GO:1901027
Ab_contig_573	O43451	1.17e-27	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	Homo sapiens (Human)	dextrin catabolic process [GO:1901027]; maltose catabolic process [GO:0000025]; starch catabolic process [GO:0005983]	GO:0000025; GO:0003824; GO:0004339; GO:0004558; GO:0004574; GO:0005886; GO:0005983; GO:0016160; GO:0016324; GO:0030246; GO:0070062; GO:0070821; GO:0101003; GO:1901027
Ab_contig_589	Q8ISN9	1.82e-40	NA	NA	NA	NA
Ab_contig_595	P49609	5.7e-39	NA	NA	NA	NA
Ab_contig_599	P70665	6.91e-54	NA	NA	NA	NA
Ab_contig_603	Q5TGZ0	4.35e-32	NA	NA	NA	NA
Ab_contig_609	O75489	8.62e-64	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)	Homo sapiens (Human)	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; reactive oxygen species metabolic process [GO:0072593]; substantia nigra development [GO:0021762]	GO:0003954; GO:0005739; GO:0005743; GO:0005759; GO:0006120; GO:0008137; GO:0009055; GO:0009060; GO:0016604; GO:0021762; GO:0031966; GO:0032981; GO:0042776; GO:0045271; GO:0072593
Ab_contig_625	Q0MQB1	1.03e-33	NA	NA	NA	NA
Ab_contig_632	Q02401	1.05e-75	NA	NA	NA	NA
Ab_contig_632	Q02401	5.71e-59	NA	NA	NA	NA
Ab_contig_632	Q02401	1.78e-37	NA	NA	NA	NA
Ab_contig_637	Q95M17	7.13e-68	NA	NA	NA	NA
Ab_contig_642	Q8WPJ2	3.85e-23	NA	NA	NA	NA
Ab_contig_646	Q6YHK3	1.95e-104	NA	NA	NA	NA
Ab_contig_654	P49591	5.61e-25	NA	NA	NA	NA
Ab_contig_662	Q5BKQ4	1.05e-83	NA	NA	NA	NA
Ab_contig_663	Q61847	5.03e-31	NA	NA	NA	NA
Ab_contig_682	Q5NVR2	4.38e-68	NA	NA	NA	NA
Ab_contig_686	O43776	1.91e-50	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)	Homo sapiens (Human)	asparaginyl-tRNA aminoacylation [GO:0006421]; cell migration [GO:0016477]; cerebral cortex development [GO:0021987]; tRNA aminoacylation for protein translation [GO:0006418]	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0005829; GO:0006418; GO:0006421; GO:0016477; GO:0021987; GO:0031728; GO:0046983; GO:0070062
Ab_contig_693	O57592	5.78e-32	NA	NA	NA	NA
Ab_contig_708	P50429	1.13e-52	NA	NA	NA	NA
Ab_contig_715	Q8HXY0	1.18e-43	NA	NA	NA	NA
Ab_contig_716	Q08890	2.98e-25	NA	NA	NA	NA
Ab_contig_727	P02350	2.08e-56	NA	NA	NA	NA
Ab_contig_728	Q1HPK6	5.34e-180	NA	NA	NA	NA
Ab_contig_729	G1T1F0	3.81e-38	NA	NA	NA	NA
Ab_contig_730	P54357	7.39e-66	NA	NA	NA	NA
Ab_contig_734	Q9GMB0	1.75e-39	NA	NA	NA	NA
Ab_contig_744	Q9V3G7	1.07e-49	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.86e-50	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	7.8e-43	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	1.02e-42	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	5.58e-42	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.51e-41	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	1.02e-40	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	1.04e-40	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	4.54e-40	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	6.12e-40	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	1.1e-39	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.68e-39	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	4.83e-38	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	6.83e-38	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	1.84e-37	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	3.55e-37	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	3.58e-36	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.23e-34	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.48e-34	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	4.64e-34	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	8.2e-34	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.01e-33	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	4.25e-33	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.06e-32	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	5.72e-32	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	6.74e-32	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	4.79e-27	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	2.18e-26	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	4.66e-26	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	1.55e-23	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	1.16e-21	NA	NA	NA	NA
Ab_contig_746	B3EWZ6	5.42e-21	NA	NA	NA	NA
Ab_contig_747	G1SQH0	1.09e-47	NA	NA	NA	NA
Ab_contig_755	P07097	8.95e-41	NA	NA	NA	NA
Ab_contig_763	H9XP47	4.99e-24	Meso-2,3-butanediol dehydrogenase (BDH) (meso-2,3-BDH) (EC 1.1.1.-) ((R,S)-butane-2,3-diol dehydrogenase) (NAD(H)-dependent meso-2,3-BDH) (SmBdh)	Serratia marcescens		GO:0016491
Ab_contig_770	Q6DV14	4.3e-46	NA	NA	NA	NA
Ab_contig_771	Q4KTG9	7.32e-51	NA	NA	NA	NA
Ab_contig_780	P83362	5.14e-28	NA	NA	NA	NA
Ab_contig_781	O61998	1.29e-109	NA	NA	NA	NA
Ab_contig_787	Q56FG6	1.25e-38	NA	NA	NA	NA
Ab_contig_789	P70670	2.03e-27	NA	NA	NA	NA
Ab_contig_799	Q9UM22	3.52e-27	NA	NA	NA	NA
Ab_contig_804	P26221	3.16e-34	NA	NA	NA	NA
Ab_contig_810	Q5RF02	5.4400000000000004e-34	NA	NA	NA	NA
Ab_contig_815	P00787	3.75e-128	Cathepsin B (EC 3.4.22.1) (Cathepsin B1) (RSG-2) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	Rattus norvegicus (Rat)	autophagy [GO:0006914]; cellular response to mechanical stimulus [GO:0071260]; cellular response to thyroid hormone stimulus [GO:0097067]; collagen catabolic process [GO:0030574]; decidualization [GO:0046697]; epithelial cell differentiation [GO:0030855]; neuron apoptotic process [GO:0051402]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; response to amine [GO:0014075]; response to cytokine [GO:0034097]; response to dexamethasone [GO:0071548]; response to ethanol [GO:0045471]; response to glucose [GO:0009749]; response to interleukin-4 [GO:0070670]; response to mechanical stimulus [GO:0009612]; response to organic cyclic compound [GO:0014070]; response to peptide hormone [GO:0043434]; skeletal muscle tissue development [GO:0007519]; spermatogenesis [GO:0007283]; symbiont entry into host cell [GO:0046718]; thyroid hormone generation [GO:0006590]	GO:0004175; GO:0004197; GO:0005518; GO:0005576; GO:0005615; GO:0005764; GO:0005901; GO:0006508; GO:0006590; GO:0006914; GO:0007283; GO:0007519; GO:0008233; GO:0008234; GO:0009612; GO:0009749; GO:0009897; GO:0009986; GO:0014070; GO:0014075; GO:0016324; GO:0030163; GO:0030574; GO:0030855; GO:0030984; GO:0034097; GO:0042277; GO:0042383; GO:0042470; GO:0042802; GO:0043394; GO:0043434; GO:0044877; GO:0045471; GO:0046697; GO:0046718; GO:0048471; GO:0051402; GO:0051603; GO:0070670; GO:0071260; GO:0071548; GO:0097067; GO:1904090
Ab_contig_819	P28491	3.07e-55	NA	NA	NA	NA
Ab_contig_820	C5FFQ7	4.47e-23	NA	NA	NA	NA
Ab_contig_835	P26221	1.37e-47	NA	NA	NA	NA
Ab_contig_840	O18404	3.77e-38	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51, EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Hydroxysteroid dehydrogenase) (EC 1.1.1.-, EC 1.1.1.53) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Scully protein) (Type II HADH)	Drosophila melanogaster (Fruit fly)	acyl-CoA metabolic process [GO:0006637]; androgen metabolic process [GO:0008209]; ecdysone metabolic process [GO:0008205]; estrogen metabolic process [GO:0008210]; fatty acid metabolic process [GO:0006631]; mitochondrial tRNA processing [GO:0090646]; steroid metabolic process [GO:0008202]	GO:0003857; GO:0004303; GO:0005739; GO:0006631; GO:0006637; GO:0008202; GO:0008205; GO:0008209; GO:0008210; GO:0016229; GO:0018454; GO:0030678; GO:0047015; GO:0047022; GO:0047035; GO:0090646; GO:0106282; GO:0106283
